N,P,K,temperature,humidity,ph,rainfall,label
68,47,38,22.69657794,82.81088865,6.028321558,256.9964761,rice
87,57,41,22.68319059,83.46358271,6.604993475,194.2651719,rice
91,35,36,21.53346343,82.14004101,6.500343222,295.9248796,rice
75,40,44,21.40865769,83.3293191,5.935745417,287.5766935,rice
80,55,39,26.54348085,84.67353597,7.072655622,183.6222657,rice
93,55,43,23.35905428,83.59512273,5.333322606,188.413665,rice
96,55,16,22.61359953,63.69070564,5.749914421,87.75953857,maize
71,60,22,26.10018422,71.57476937,6.931756558,102.2662445,maize
64,55,22,23.55882094,71.59351368,6.657964753,66.71995467,maize
67,55,18,19.97215954,57.68272924,6.596060648,60.65171481,maize
83,36,16,18.47891261,62.69503871,5.970458434,65.43835393,maize
98,53,25,21.77689322,57.80840636,6.158830619,102.0861694,maize
92,50,20,25.6217169,66.50415474,6.047906679,105.4654703,maize
86,45,16,25.19192419,66.6902901,5.913664501,78.06639649,maize
70,57,18,20.41683147,62.5542482,5.855442401,65.27798457,maize
62,54,15,24.92162194,66.78627406,5.750254943,109.2162279,maize
96,55,24,23.31689124,73.4541537,5.852607099,94.29712821,maize
79,46,20,24.84016732,68.3584573,6.472523287,74.05474936,maize
71,42,23,22.27526694,58.84015925,6.967057762,63.87020584,maize
98,49,20,18.87751445,65.76816093,6.082973754,94.76189431,maize
87,49,18,25.19008683,60.2001687,5.919045532,72.12375573,maize
93,42,18,18.25405352,55.28220433,6.204747653,63.72358154,maize
78,53,20,24.6129118,70.4162444,6.600827017,104.1626147,maize
71,53,22,25.1420613,65.26185135,6.021902237,76.68456006,maize
96,55,24,23.09348056,60.1159381,6.033550195,65.49730729,maize
74,57,19,18.05033737,62.89366992,6.28886807,84.23613484,maize
61,41,15,24.9321581,73.80435276,6.550563823,79.74078719,maize
79,42,24,18.14710054,71.09445342,5.573286437,88.07753741,maize
91,55,18,18.28362235,66.65952796,6.829199275,80.97573281,maize
68,50,21,18.83344471,58.75082029,5.716222912,79.7532896,maize
63,60,18,25.71895816,67.22190688,5.54990242,74.51490791,maize
85,59,22,25.33797709,68.49835977,6.586244581,96.46380213,maize
68,39,18,23.89114571,57.48775781,5.893093135,102.8301942,maize
84,47,16,21.53574127,71.50905983,5.918263801,102.4852929,maize
89,49,24,23.08974909,63.10459626,5.588650585,70.43473609,maize
80,53,15,25.61707368,63.4711755,6.576418207,108.8303762,maize
84,39,22,21.44526922,63.1621551,6.178056304,65.88951188,maize
71,46,19,18.51816776,55.53128131,6.641906353,90.988051,maize
67,57,23,22.53510514,67.99257471,6.489040367,64.40866039,maize
84,36,21,23.02038334,61.89472002,5.680361038,63.03843397,maize
86,41,19,24.89364635,65.61418761,6.625404348,87.9298085,maize
81,40,16,25.77175115,74.089114,6.524478032,107.4931917,maize
92,60,24,19.39851734,62.35750641,5.696205468,60.95197486,maize
83,49,18,21.54156232,59.64024162,6.803931519,109.7515385,maize
60,42,24,23.79746068,74.82913698,6.252797548,91.76337172,maize
84,42,16,18.9802729,74.52600826,6.092725883,94.26249353,maize
85,51,20,24.10859207,73.13112261,6.234330356,71.07562236,maize
88,36,23,24.7947077,70.04556743,5.722579819,76.72860067,maize
97,60,15,21.63162756,60.27766379,6.430616465,69.21803098,maize
80,43,17,25.37548751,57.21025565,5.983952675,101.7004306,maize
98,40,16,22.21738222,72.85462807,6.80163854,106.6213157,maize
78,40,19,20.58314011,69.00128641,6.499936446,66.29390357,maize
81,46,25,24.87502824,68.74248334,6.265564338,91.26056654,maize
82,35,22,20.03728219,56.35606753,6.727303282,109.024141,maize
74,45,20,25.95263264,61.89082199,6.325235159,99.57981207,maize
68,43,24,19.28889933,65.47050802,6.807487794,71.3195307,maize
60,41,20,20.57981887,65.34583901,6.671085817,78.34604471,maize
81,44,22,24.71417533,56.73426469,6.648725327,88.45361858,maize
100,58,15,20.27317074,63.91281869,6.439071996,62.50351892,maize
78,45,17,18.41932981,64.23580251,6.474476516,76.41312437,maize
60,36,16,23.39128187,61.74427165,5.871647806,107.3198135,maize
96,35,18,19.84939404,61.24500053,5.730617109,100.7689246,maize
91,45,23,21.869274,61.91044947,5.850439831,107.2681929,maize
100,45,15,22.8056033,56.50768935,5.791649933,101.5952794,maize
92,43,15,19.0781471,69.02298571,6.740000688,80.72515943,maize
68,45,19,22.02720976,65.35549924,6.272417541,83.73280082,maize
91,58,24,23.80546189,59.24537979,5.715208817,89.9622014,maize
66,48,22,18.52510753,69.0276233,5.773454729,88.10234397,maize
95,52,22,23.50297882,61.32026065,5.584171461,64.77791424,maize
77,53,19,26.54986394,72.89187265,5.787268394,73.33636055,maize
82,36,23,19.29563411,69.63481219,5.77597783,83.21030571,maize
66,56,19,20.68899915,59.4375337,6.864793607,103.651438,maize
86,59,21,19.32666088,68.034493,6.192360003,84.22969177,maize
95,56,17,24.60532218,73.58868502,6.636803223,96.59195302,maize
65,47,16,22.27373646,59.52193158,5.826426917,67.96704792,maize
74,37,24,25.70196694,61.33450447,6.960358276,83.20711308,maize
73,44,21,19.20129357,68.30578978,6.11275104,87.85092352,maize
78,47,22,21.70181447,60.47470519,6.708446922,95.71388473,maize
92,39,16,20.51716779,59.21235483,5.561510732,67.61013737,maize
83,45,18,23.30355338,73.62548442,5.873242491,97.59081274,maize
64,46,23,24.2547451,55.64709899,6.995843776,64.23845455,maize
95,35,20,24.86374934,65.7420046,5.714799723,75.82270467,maize
93,46,19,22.6265115,65.77472881,6.78073637,88.17251033,maize
80,56,16,18.04185513,60.61494304,5.513697923,104.2321615,maize
73,58,24,23.26237612,72.33125523,5.798423908,67.10225139,maize
92,58,15,22.88330922,71.59722446,6.352471866,67.72777298,maize
80,43,15,25.97482359,69.36385721,6.822586546,103.2234212,maize
99,49,18,26.14384005,66.20569924,6.655426355,107.2361366,maize
60,54,24,18.66116213,61.55327249,6.121294041,75.03247667,maize
63,50,15,25.10787449,55.97732754,5.790770203,78.16077693,maize
69,52,19,23.33844615,59.24580604,6.47444292,105.0083144,maize
94,47,17,25.08239719,65.92195844,6.455116637,62.49190812,maize
92,53,17,25.36768364,72.52054555,6.606984086,107.9124111,maize
69,44,20,25.34217103,63.31801994,6.330554389,74.52082026,maize
72,37,23,25.00933355,67.816568,6.528631266,62.91359494,maize
67,46,17,18.66746724,71.516474,5.721667141,69.93293255,maize
63,35,24,20.37999665,63.73849998,6.644205485,108.5054416,maize
92,43,25,18.09300227,72.61024172,6.376651091,78.96159541,maize
92,53,20,26.16985907,71.96246617,6.247040422,79.84925393,maize
84,52,25,18.65396672,61.37879671,6.656730008,93.62039175,maize
60,59,20,26.07470121,59.37147589,6.2048017,85.75692395,maize
79,51,16,18.92851916,72.80086137,6.158860284,82.34162918,maize
74,55,17,23.30546753,63.24648023,6.385684214,108.7603001,maize
82,37,23,18.74826712,62.49878458,6.417820493,70.23401597,maize
61,38,25,19.74213321,59.66263104,6.381201909,65.50861389,maize
69,56,22,25.73044432,70.74739256,6.877869005,98.73771338,maize
74,52,39,25.52468965,72.24850829,6.002524871,151.8869972,jute
74,49,41,26.59104992,82.94164078,6.033485257,161.2469997,jute
73,60,40,25.29781791,86.8870535,7.121933579,196.6249511,jute
71,50,35,25.72100868,88.16513579,6.207459637,175.6086697,jute
86,41,43,23.58419277,72.00460848,6.090060478,190.4242157,jute
63,44,37,25.31042337,72.01364411,6.346715209,190.5577618,jute
74,39,41,23.41798979,85.08640476,6.661957897,185.7446728,jute
92,44,38,24.35564134,88.80391021,6.176860192,169.1168028,jute
91,56,44,26.284017,75.14640198,7.251847296,182.2685447,jute
75,43,39,25.13842773,83.12053888,6.386259978,169.3388465,jute
78,35,36,24.88692811,71.91711523,7.319735475,150.2498675,jute
92,49,43,25.75734909,88.36668522,6.025028997,189.4263485,jute
63,56,43,23.12844351,74.68322732,6.344751947,199.8362913,jute
60,54,37,24.9949957,88.95692783,7.02777956,151.4935635,jute
79,42,45,25.21622704,70.88259632,7.299304715,195.8645552,jute
99,40,39,24.39736241,79.26861738,7.014063944,164.2697011,jute
71,44,45,23.31410442,71.4509053,7.488014404,164.4970373,jute
62,38,45,25.72668885,81.86171563,6.626503893,191.9649389,jute
83,41,38,26.96656378,78.21047693,6.239011,169.8391177,jute
83,48,37,23.70467146,74.63745355,6.742688094,181.2783964,jute
84,56,35,24.90075709,73.84186449,6.588017308,153.8990984,jute
88,48,36,23.39605743,72.60512854,7.097586415,174.7876411,jute
81,43,42,26.8748389,79.78725152,6.956682743,173.1017097,jute
88,41,43,23.1426498,74.99739774,7.380396262,151.9035477,jute
86,56,42,24.29496635,77.62976013,6.176618831,184.9800516,jute
73,43,45,24.39459498,89.89106506,6.551130445,197.1220049,jute
69,50,40,25.7629429,80.76238215,6.427726565,174.5071843,jute
80,55,44,25.4879684,84.48235878,6.740947635,168.7848886,jute
87,48,43,25.37122686,76.2403666,6.130136384,183.8270791,jute
64,52,44,26.21312799,81.70476368,6.667633355,180.1237765,jute
65,36,39,24.30748599,78.54340987,6.186814392,186.2337571,jute
65,48,43,23.76554749,87.98329901,6.334837865,150.3166152,jute
82,35,40,24.79853023,78.53037059,7.16214284,162.2847429,jute
63,36,36,23.20683504,74.09956958,7.422318499,199.4766779,jute
87,55,45,23.66805429,70.89000744,6.768001309,184.4633281,jute
86,36,36,25.12417673,85.72530641,6.348441469,159.5718087,jute
71,43,43,23.89069041,83.46409075,6.097294061,167.7230632,jute
62,55,40,23.09433785,81.45139295,6.14132902,196.6587013,jute
66,52,39,24.21744605,82.85284045,7.479248124,166.1365886,jute
83,44,38,24.06475727,71.31342851,6.509174789,153.6390212,jute
79,40,35,24.85441411,74.4407048,6.57256106,175.572958,jute
66,50,38,26.41915161,76.85691248,7.165696848,197.2101782,jute
68,60,36,24.89326318,77.01222585,7.207457208,196.469984,jute
71,36,44,23.25583402,82.7015932,7.124333547,166.2160846,jute
85,55,43,24.7634518,87.06071115,6.463538707,179.1630865,jute
62,58,45,24.97042599,78.62697699,6.856833064,166.6415254,jute
90,52,37,26.12797248,80.49172597,7.132389299,150.6326874,jute
63,38,45,25.97825807,81.65769588,6.235357638,163.3488091,jute
80,54,44,26.2830571,73.35763537,6.704273839,186.6898282,jute
62,38,36,26.38905406,83.31240346,7.433313409,176.1516409,jute
90,46,45,25.2746335,73.7459581,6.109478059,168.0432282,jute
83,35,40,23.09499564,78.45959697,7.095413294,155.3851533,jute
74,43,43,25.79351957,81.76904006,6.352076783,193.2418382,jute
61,43,45,23.17403323,87.88255345,6.658769991,160.6217342,jute
94,58,37,25.63215038,79.95150917,7.051822472,182.2582277,jute
73,45,35,25.848795,87.81661683,7.333143205,152.6194403,jute
70,38,45,26.56767277,80.90424543,6.352771037,181.2915605,jute
63,54,44,26.24532085,72.97198375,7.124050134,189.9711184,jute
94,40,38,26.91515043,73.19897535,6.998787171,177.2233048,jute
63,51,36,24.36972377,82.11319791,6.537914958,159.9210934,jute
94,46,35,25.71901283,79.15532398,7.171054239,187.1735424,jute
95,48,41,25.01157559,88.3313023,7.228268228,169.4168014,jute
63,58,39,25.40785911,76.44048625,7.319952206,188.6372826,jute
97,57,41,23.28081,74.27607475,6.613341343,153.7447398,jute
73,37,38,23.98651719,82.09053379,6.096838784,167.0576456,jute
69,50,42,24.48556447,83.20630007,6.132570523,192.2316221,jute
99,36,44,25.86705009,84.09985284,7.36008498,154.8390847,jute
60,50,41,23.5643831,79.46283115,7.321619041,185.25947,jute
63,48,38,24.2248758,74.89465426,7.175170657,192.4931257,jute
98,49,39,25.49386782,86.97061481,7.299076163,176.5268267,jute
63,44,42,24.97178693,79.47557931,6.842966479,195.7571622,jute
80,57,35,24.80624984,82.09281674,6.356295568,156.3616174,jute
89,39,41,23.16814977,76.66724969,6.508342839,157.1215052,jute
68,55,42,24.25133493,89.86454053,7.098227926,175.1742112,jute
89,44,42,26.58361011,78.00774772,6.310699968,154.8238864,jute
95,59,37,26.82489244,78.20392774,7.093328631,153.9199807,jute
81,56,41,25.49674786,81.13449097,6.691074249,169.9288234,jute
68,43,38,24.09874353,80.57226761,6.187746776,176.8604109,jute
92,49,45,23.18866654,86.20899734,6.491506245,176.103677,jute
62,50,38,26.24347471,78.51063754,6.855362875,183.4065252,jute
62,43,37,23.75091572,71.14782585,7.124571593,160.0889553,jute
84,50,44,26.13871511,79.1188943,6.067302109,171.4892533,jute
74,36,39,26.14576648,71.23690851,6.432051512,193.1007598,jute
97,56,40,26.91643698,73.48655995,6.253408852,171.4716375,jute
81,46,43,26.5232969,77.17331847,7.287318723,157.8548562,jute
71,37,39,23.81579631,80.94023552,7.161865733,190.312216,jute
95,48,35,26.50838667,86.84264005,6.065898283,152.9801697,jute
71,55,40,26.63952463,70.95705996,7.311077075,199.3355744,jute
79,53,37,23.3250131,79.79609448,6.581693772,187.3096148,jute
61,44,45,26.47549543,73.96164569,6.732826127,180.2513601,jute
81,49,40,23.78756036,74.36794079,6.014572075,172.6442654,jute
95,41,37,25.49941707,75.99987588,6.663559451,193.7141828,jute
73,45,37,23.24925555,73.65346838,6.434610995,184.7674863,jute
85,56,38,26.98582182,89.05587886,7.432768147,193.8778713,jute
83,43,45,23.61475336,86.14290267,6.987332927,150.2355238,jute
63,59,45,23.87484465,86.79261344,6.718725189,177.5147313,jute
90,60,40,23.92887902,88.07112278,6.880204617,154.6608736,jute
77,49,37,24.81441246,81.68688879,6.86106911,190.7886386,jute
98,57,37,24.44743944,82.286484,6.7693455,190.9684885,jute
95,38,42,26.57421679,73.81994896,7.26158085,159.3223075,jute
120,27,35,26.33377983,57.36469955,7.261313694,191.6549412,coffee
113,27,27,26.45288458,55.32222678,7.235070264,144.6861336,coffee
113,20,30,25.70822684,52.88667115,7.18915558,136.7325092,coffee
113,21,28,24.12832546,56.18107663,6.431899748,147.2757818,coffee
96,16,28,23.44372334,60.39523266,6.42321105,122.2103248,coffee
102,26,27,23.4123707,52.26994674,6.869720196,139.3670753,coffee
112,31,35,23.05951896,50.40609436,6.973839707,164.4971875,coffee
119,15,27,23.07895447,63.65861483,7.184801627,129.8765443,coffee
105,22,33,27.6496114,51.11044023,6.351823783,122.8392822,coffee
112,36,35,25.46743689,69.35161206,6.392048018,171.3764462,coffee
116,29,35,26.7350622,55.55164819,6.119892347,140.6305213,coffee
89,31,35,26.20811417,52.50987966,6.910823945,189.0944824,coffee
90,40,30,27.0424167,57.27927475,6.501157208,165.6872119,coffee
91,31,32,24.65090184,51.93952357,7.027585559,135.1386537,coffee
104,19,31,27.35152643,55.99375012,7.13411409,148.9812525,coffee
113,23,35,25.17787724,62.26244581,6.647765997,135.0119649,coffee
90,16,25,23.11438731,68.00096043,6.703270635,161.8944624,coffee
91,16,34,27.22783677,52.95261751,7.493191968,175.7260273,coffee
80,22,30,23.26316991,60.5160021,6.724688503,194.1755471,coffee
97,28,32,25.234661,57.53161469,6.043485685,124.2261737,coffee
120,32,31,25.59535262,57.72920846,7.101661011,195.7733251,coffee
83,27,25,25.5674832,60.49244602,7.466900683,190.2257843,coffee
117,24,34,25.67324193,51.29043632,6.877799264,196.2736367,coffee
93,27,27,24.40726724,62.65692638,6.410992833,148.6977358,coffee
86,37,31,23.69287069,66.76090123,7.393825704,144.6576424,coffee
92,28,33,24.53460016,66.99765375,7.482414225,180.5059257,coffee
89,36,28,27.13140403,52.89368299,6.081172981,192.4280381,coffee
112,35,29,27.56088634,68.49299897,6.516312148,167.4358075,coffee
117,24,30,23.59302313,55.27564977,6.043330951,191.3980675,coffee
99,37,34,23.17714381,52.13864034,6.959404135,117.3113562,coffee
104,22,33,24.71384065,51.29142534,7.238109556,197.6439711,coffee
99,39,29,24.38534644,64.72543073,7.234258375,119.6324109,coffee
120,16,30,27.15998538,51.59100753,6.691541233,126.1752206,coffee
95,30,27,26.53543168,67.09608099,6.809593554,120.6494434,coffee
100,30,30,27.01207284,60.76645256,6.485761419,191.4508931,coffee
100,38,34,27.55906475,58.45742907,6.784460602,117.9389993,coffee
113,20,25,23.32293161,53.00366334,7.167092586,168.2644287,coffee
119,40,25,24.23850608,54.30329632,6.73410539,115.1564012,coffee
101,39,25,23.42611644,64.10651528,6.779984384,122.6847408,coffee
101,24,32,26.02241444,55.83288958,7.277422738,176.9020924,coffee
88,15,25,24.83846178,56.7685316,7.21270048,124.4135035,coffee
82,17,29,26.24092174,65.64381357,7.487266991,148.3771202,coffee
97,25,32,24.43011925,66.02411187,7.231166546,181.6368274,coffee
92,32,28,26.00373964,62.1445102,6.559817161,153.477776,coffee
90,25,29,26.22367404,62.26594559,6.979590627,193.7461968,coffee
120,19,27,27.09617155,63.55324262,6.779230041,190.2440566,coffee
111,30,33,25.64004392,61.03273481,6.217974349,199.4735636,coffee
120,28,27,27.74576987,54.36976075,7.205078785,139.8619431,coffee
87,33,28,26.24928198,54.28617819,6.854011265,133.1120232,coffee
112,33,29,26.67377159,52.24226285,6.246872394,156.1543898,coffee
93,33,33,27.10210397,55.7497332,6.911066044,139.5013171,coffee
105,29,30,27.62975458,61.26002598,6.777417989,196.6492664,coffee
107,36,32,27.5364547,55.51673151,6.273741983,130.6377143,coffee
85,19,33,23.56960509,50.56339727,6.906124587,130.3797119,coffee
111,25,31,24.99451759,57.93250202,7.162802357,192.8736822,coffee
107,39,32,27.56441788,54.41094079,6.955787351,177.816092,coffee
104,24,25,23.98143338,61.10935084,6.971963169,161.5279095,coffee
83,23,33,24.22984659,67.37768353,6.840927967,122.4073418,coffee
109,20,29,25.60153969,68.66257977,6.536676653,168.8383605,coffee
85,40,29,24.31274458,53.57285558,6.089443603,184.4103931,coffee
80,26,28,26.36629861,52.25738495,7.456460375,177.3176161,coffee
99,38,35,26.5602777,57.1621814,6.759211911,152.0616227,coffee
103,32,27,26.35034208,58.50650238,7.460174812,121.5586297,coffee
116,35,31,25.20406808,57.88370456,6.652642579,156.1457255,coffee
106,32,33,23.35723208,55.18792166,6.026287448,171.6976946,coffee
115,18,33,23.60567546,59.68849145,6.074190142,185.1568059,coffee
91,20,29,24.18471151,69.94807345,7.045543056,163.2708732,coffee
99,19,27,26.44414097,53.83876189,6.993236001,175.3723314,coffee
119,33,25,26.12492233,63.37479229,6.726528895,147.8035305,coffee
85,18,33,27.77363343,64.47858698,6.937352845,192.7121236,coffee
113,33,35,25.55656667,62.67087838,7.27905689,193.5866233,coffee
109,36,33,27.92374437,67.96910852,7.079850922,115.2325531,coffee
112,18,31,26.05968403,52.31098539,6.136286518,161.3432535,coffee
115,25,34,26.35770906,64.57578034,6.505203696,163.6269496,coffee
104,15,34,24.91370487,54.15319242,7.042089492,129.5481144,coffee
115,24,30,27.31317116,68.4233391,6.348337519,192.4288139,coffee
100,15,26,26.1387869,52.26311691,7.432322234,136.3027766,coffee
107,37,28,23.1069385,67.06230539,6.787658922,162.5769606,coffee
108,15,29,23.52648086,68.44030686,6.743417121,171.8839938,coffee
90,22,25,25.11711046,68.48030408,7.00733163,194.8773479,coffee
110,33,28,24.02952505,58.84880599,7.303033217,134.6803969,coffee
98,31,33,26.70897548,69.71184111,6.861235184,158.8608887,coffee
114,18,30,26.71717393,50.50148528,7.131435858,126.8073984,coffee
102,26,27,24.59245684,56.46829641,7.288211994,137.7044047,coffee
96,31,30,27.51006055,50.66687215,6.983732393,143.9955548,coffee
92,31,25,27.57847581,58.52534263,6.172090205,156.6810374,coffee
93,24,34,26.65069302,57.56695719,6.35118177,145.105065,coffee
114,17,30,26.97251562,62.0183627,6.908671379,142.8610793,coffee
108,35,26,23.17124551,52.97841162,6.766184468,153.1201644,coffee
81,33,25,23.52652084,65.44340921,6.392791654,186.1728203,coffee
81,18,29,27.30901814,55.196224,6.348316257,141.4831644,coffee
110,36,33,27.54823036,62.88179198,6.123796057,181.4170812,coffee
83,39,32,25.627355,57.04151119,7.428523634,188.5506536,coffee
101,26,32,23.29250318,50.04557009,6.020947179,183.468585,coffee
111,23,27,24.91461008,53.74144743,6.334610249,166.2549307,coffee
110,37,33,26.77463708,66.4132686,6.78006386,177.7745075,coffee
107,26,34,27.41711238,56.63636248,6.086922359,127.92461,coffee
81,21,27,24.13179691,67.22512329,6.362607851,173.3228386,coffee
107,29,34,26.2724184,52.12739421,6.758792552,127.1752928,coffee
108,32,29,23.60301571,60.39647474,6.779832611,140.9370415,coffee
108,48,25,24.40228894,79.19732001,7.231324765,90.8022356,cotton
127,41,20,23.09595631,84.86275707,6.925412377,71.29581071,cotton
124,40,16,23.9656349,76.97696717,7.633437412,90.75616738,cotton
102,45,19,24.88738107,75.62137159,6.827354668,89.76050416,cotton
100,55,20,25.36243778,83.63276077,6.176716425,88.43618918,cotton
114,42,24,24.69457084,81.7358876,6.628722836,78.58494391,cotton
104,53,23,25.0017188,80.53965818,7.256877571,96.32600992,cotton
121,36,19,22.45942937,81.30681027,6.443785385,64.23026638,cotton
106,53,24,23.60564038,79.29573149,7.723240151,72.49800885,cotton
114,55,25,24.58453146,79.12404171,5.947448589,71.94608134,cotton
128,40,23,23.0865933,83.55546146,7.227745516,71.84080724,cotton
132,54,20,23.5000992,83.63488952,6.219469084,79.81328183,cotton
112,37,25,24.1472953,75.88298598,6.021439523,69.91563467,cotton
121,35,18,24.69315538,84.84422454,6.253343655,89.799462,cotton
131,37,23,24.484692,84.44932014,6.187455799,90.94342484,cotton
119,37,17,24.49112609,82.24415809,7.057693366,64.02949379,cotton
118,49,18,23.47986888,81.73049149,6.720449769,86.76287924,cotton
101,38,18,24.18586246,76.04203958,6.431689506,69.08056728,cotton
136,58,19,25.00755095,78.17952126,7.453106264,86.06411872,cotton
131,58,24,25.99237426,77.0543546,7.368258226,89.1188212,cotton
